"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
10 Aug 2024 00:00:00.000,-3148.832079,-4057.297879,-4575.145796,3.278049,-5.828180,2.912396
10 Aug 2024 00:01:00.000,-2946.888126,-4398.704491,-4390.446191,3.451361,-5.548128,3.241995
10 Aug 2024 00:02:00.000,-2734.920745,-4722.615430,-4186.392314,3.612075,-5.245186,3.557302
10 Aug 2024 00:03:00.000,-2513.701347,-5027.693332,-3963.883688,3.759680,-4.920571,3.856927
10 Aug 2024 00:04:00.000,-2284.030581,-5312.676615,-3723.901192,3.893714,-4.575591,4.139550
10 Aug 2024 00:05:00.000,-2046.735506,-5576.384775,-3467.502733,4.013759,-4.211640,4.403924
10 Aug 2024 00:06:00.000,-1802.666693,-5817.723348,-3195.818585,4.119448,-3.830190,4.648885
10 Aug 2024 00:07:00.000,-1552.695260,-6035.688522,-2910.046405,4.210464,-3.432790,4.873353
10 Aug 2024 00:08:00.000,-1297.709868,-6229.371374,-2611.445955,4.286540,-3.021054,5.076337
10 Aug 2024 00:09:00.000,-1038.613660,-6397.961720,-2301.333545,4.347459,-2.596657,5.256944
10 Aug 2024 00:10:00.000,-776.321182,-6540.751560,-1981.076235,4.393059,-2.161329,5.414376
10 Aug 2024 00:11:00.000,-511.755272,-6657.138096,-1652.085805,4.423226,-1.716846,5.547941
10 Aug 2024 00:12:00.000,-245.843945,-6746.626321,-1315.812535,4.437900,-1.265024,5.657049
10 Aug 2024 00:13:00.000,20.482730,-6808.831161,-973.738808,4.437074,-0.807710,5.741218
10 Aug 2024 00:14:00.000,286.295743,-6843.479158,-627.372577,4.420790,-0.346776,5.800079
10 Aug 2024 00:15:00.000,550.670237,-6850.409695,-278.240718,4.389143,0.115889,5.833372
10 Aug 2024 00:16:00.000,812.688578,-6829.575748,72.117701,4.342280,0.578390,5.840950
10 Aug 2024 00:17:00.000,1071.443385,-6781.044176,422.158206,4.280396,1.038828,5.822779
10 Aug 2024 00:18:00.000,1326.040522,-6704.995519,770.337724,4.203736,1.495312,5.778940
10 Aug 2024 00:19:00.000,1575.602025,-6601.723347,1115.121384,4.112594,1.945967,5.709625
10 Aug 2024 00:20:00.000,1819.268973,-6471.633114,1454.989289,4.007311,2.388941,5.615141
10 Aug 2024 00:21:00.000,2056.204289,-6315.240566,1788.443207,3.888275,2.822410,5.495904
10 Aug 2024 00:22:00.000,2285.595454,-6133.169675,2114.013185,3.755915,3.244592,5.352440
10 Aug 2024 00:23:00.000,2506.657140,-5926.150129,2430.264022,3.610708,3.653747,5.185380
10 Aug 2024 00:24:00.000,2718.633744,-5695.014379,2735.801598,3.453169,4.048189,4.995462
10 Aug 2024 00:25:00.000,2920.801817,-5440.694252,3029.279021,3.283853,4.426293,4.783523
10 Aug 2024 00:26:00.000,3112.472392,-5164.217159,3309.402564,3.103354,4.786501,4.550497
10 Aug 2024 00:27:00.000,3292.993186,-4866.701890,3574.937367,2.912301,5.127325,4.297410
10 Aug 2024 00:28:00.000,3461.750685,-4549.354040,3824.712879,2.711357,5.447359,4.025380
10 Aug 2024 00:29:00.000,3618.172096,-4213.461058,4057.628024,2.501216,5.745283,3.735605
10 Aug 2024 00:30:00.000,3761.727173,-3860.386970,4272.656049,2.282602,6.019866,3.429362
10 Aug 2024 00:31:00.000,3891.929895,-3491.566761,4468.849051,2.056265,6.269973,3.108001
10 Aug 2024 00:32:00.000,4008.340005,-3108.500479,4645.342159,1.822980,6.494571,2.772940
10 Aug 2024 00:33:00.000,4110.564399,-2712.747053,4801.357343,1.583542,6.692732,2.425655
10 Aug 2024 00:34:00.000,4198.258368,-2305.917871,4936.206848,1.338770,6.863636,2.067677
10 Aug 2024 00:35:00.000,4271.126676,-1889.670132,5049.296218,1.089494,7.006575,1.700584
10 Aug 2024 00:36:00.000,4328.924489,-1465.700014,5140.126927,0.836562,7.120959,1.325994
10 Aug 2024 00:37:00.000,4371.458136,-1035.735671,5208.298568,0.580832,7.206314,0.945559
10 Aug 2024 00:38:00.000,4398.585714,-601.530098,5253.510621,0.323171,7.262285,0.560956
10 Aug 2024 00:39:00.000,4410.217522,-164.853890,5275.563780,0.064452,7.288640,0.173879
10 Aug 2024 00:40:00.000,4406.316332,272.512065,5274.360828,-0.194449,7.285268,-0.213963
10 Aug 2024 00:41:00.000,4386.897499,708.783951,5249.907069,-0.452657,7.252183,-0.600863
10 Aug 2024 00:42:00.000,4352.028896,1142.182387,5202.310301,-0.709296,7.189519,-0.985113
10 Aug 2024 00:43:00.000,4301.830690,1570.939784,5131.780344,-0.963499,7.097535,-1.365021
10 Aug 2024 00:44:00.000,4236.474947,1993.307644,5038.628112,-1.214405,6.976608,-1.738912
10 Aug 2024 00:45:00.000,4156.185076,2407.563782,4923.264246,-1.461163,6.827237,-2.105137
10 Aug 2024 00:46:00.000,4061.235113,2812.019441,4786.197301,-1.702936,6.650038,-2.462082
10 Aug 2024 00:47:00.000,3951.948838,3205.026265,4628.031506,-1.938905,6.445740,-2.808174
10 Aug 2024 00:48:00.000,3828.698735,3584.983102,4449.464097,-2.168265,6.215188,-3.141886
10 Aug 2024 00:49:00.000,3691.904806,3950.342611,4251.282248,-2.390237,5.959330,-3.461748
10 Aug 2024 00:50:00.000,3542.033220,4299.617645,4034.359598,-2.604063,5.679223,-3.766350
10 Aug 2024 00:51:00.000,3379.594824,4631.387378,3799.652401,-2.809011,5.376021,-4.054348
10 Aug 2024 00:52:00.000,3205.143506,4944.303161,3548.195309,-3.004379,5.050974,-4.324474
10 Aug 2024 00:53:00.000,3019.274416,5237.094069,3281.096814,-3.189494,4.705422,-4.575537
10 Aug 2024 00:54:00.000,2822.622065,5508.572130,2999.534358,-3.363717,4.340790,-4.806429
10 Aug 2024 00:55:00.000,2615.858278,5757.637200,2704.749143,-3.526444,3.958579,-5.016133
10 Aug 2024 00:56:00.000,2399.690041,5983.281480,2398.040664,-3.677108,3.560365,-5.203725
10 Aug 2024 00:57:00.000,2174.857220,6184.593635,2080.760973,-3.815179,3.147787,-5.368378
10 Aug 2024 00:58:00.000,1942.130174,6360.762523,1754.308726,-3.940171,2.722543,-5.509365
10 Aug 2024 00:59:00.000,1702.307267,6511.080493,1420.123012,-4.051637,2.286385,-5.626065
10 Aug 2024 01:00:00.000,1456.212280,6634.946265,1079.677012,-4.149177,1.841106,-5.717964
10 Aug 2024 01:01:00.000,1204.691739,6731.867350,734.471504,-4.232433,1.388536,-5.784657
10 Aug 2024 01:02:00.000,948.612159,6801.462031,386.028247,-4.301097,0.930538,-5.825850
10 Aug 2024 01:03:00.000,688.857214,6843.460873,35.883273,-4.354906,0.468990,-5.841360
10 Aug 2024 01:04:00.000,426.324850,6857.707769,-314.419884,-4.393646,0.005789,-5.831120
10 Aug 2024 01:05:00.000,161.924335,6844.160513,-663.336993,-4.417154,-0.457165,-5.795175
10 Aug 2024 01:06:00.000,-103.426733,6802.890899,-1009.329934,-4.425317,-0.917974,-5.733684
10 Aug 2024 01:07:00.000,-368.805459,6734.084346,-1350.873475,-4.418070,-1.374749,-5.646917
10 Aug 2024 01:08:00.000,-633.286712,6638.039051,-1686.462002,-4.395403,-1.825622,-5.535256
