"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
10 Aug 2024 00:00:00.000,6878.126255,-0.000000,12.157484,-0.010322,4.382359,5.839437
10 Aug 2024 00:01:00.000,6863.562577,262.792539,362.239448,-0.474968,4.374865,5.825673
10 Aug 2024 00:02:00.000,6821.169196,524.680842,710.724563,-0.937661,4.352226,5.786228
10 Aug 2024 00:03:00.000,6751.120303,784.758199,1056.076612,-1.396503,4.314516,5.721276
10 Aug 2024 00:04:00.000,6653.703568,1042.123832,1396.773190,-1.849610,4.261860,5.631103
10 Aug 2024 00:05:00.000,6529.318936,1295.885854,1731.312414,-2.295125,4.194429,5.516106
10 Aug 2024 00:06:00.000,6378.476970,1545.164212,2058.219545,-2.731220,4.112445,5.376793
10 Aug 2024 00:07:00.000,6201.796719,1789.093589,2376.053489,-3.156107,4.016178,5.213778
10 Aug 2024 00:08:00.000,6000.003146,2026.826267,2683.413147,-3.568045,3.905945,5.027779
10 Aug 2024 00:09:00.000,5773.924115,2257.534932,2978.943594,-3.965346,3.782109,4.819616
10 Aug 2024 00:10:00.000,5524.486941,2480.415418,3261.342053,-4.346384,3.645078,4.590207
10 Aug 2024 00:11:00.000,5252.714539,2694.689387,3529.363636,-4.709600,3.495304,4.340563
10 Aug 2024 00:12:00.000,4959.721171,2899.606927,3781.826829,-5.053508,3.333283,4.071784
10 Aug 2024 00:13:00.000,4646.707814,3094.449061,4017.618709,-5.376706,3.159550,3.785056
10 Aug 2024 00:14:00.000,4314.957173,3278.530168,4235.699839,-5.677872,2.974681,3.481643
10 Aug 2024 00:15:00.000,3965.828346,3451.200301,4435.108860,-5.955782,2.779289,3.162882
10 Aug 2024 00:16:00.000,3600.751190,3611.847395,4614.966723,-6.209303,2.574024,2.830177
10 Aug 2024 00:17:00.000,3221.220377,3759.899361,4774.480565,-6.437407,2.359568,2.484997
10 Aug 2024 00:18:00.000,2828.789199,3894.826055,4912.947208,-6.639170,2.136637,2.128862
10 Aug 2024 00:19:00.000,2425.063120,4016.141122,5029.756251,-6.813778,1.905974,1.763342
10 Aug 2024 00:20:00.000,2011.693123,4123.403705,5124.392770,-6.960527,1.668351,1.390049
10 Aug 2024 00:21:00.000,1590.368869,4216.220006,5196.439580,-7.078831,1.424566,1.010629
10 Aug 2024 00:22:00.000,1162.811697,4294.244712,5245.579082,-7.168223,1.175436,0.626753
10 Aug 2024 00:23:00.000,730.767500,4357.182263,5271.594653,-7.228351,0.921802,0.240114
10 Aug 2024 00:24:00.000,295.999500,4404.787964,5274.371610,-7.258988,0.664519,-0.147583
10 Aug 2024 00:25:00.000,-139.719039,4436.868942,5253.897712,-7.260028,0.404457,-0.534629
10 Aug 2024 00:26:00.000,-574.612139,4453.284936,5210.263214,-7.231486,0.142501,-0.919319
10 Aug 2024 00:27:00.000,-1006.908439,4453.948920,5143.660468,-7.173501,-0.120460,-1.299956
10 Aug 2024 00:28:00.000,-1434.848503,4438.827558,5054.383076,-7.086332,-0.383528,-1.674863
10 Aug 2024 00:29:00.000,-1856.692069,4407.941486,4942.824598,-6.970358,-0.645800,-2.042386
10 Aug 2024 00:30:00.000,-2270.725221,4361.365422,4809.476814,-6.826077,-0.906377,-2.400906
10 Aug 2024 00:31:00.000,-2675.267428,4299.228097,4654.927556,-6.654105,-1.164360,-2.748842
10 Aug 2024 00:32:00.000,-3068.678458,4221.712015,4479.858120,-6.455169,-1.418854,-3.084661
10 Aug 2024 00:33:00.000,-3449.365106,4129.053032,4285.040259,-6.230108,-1.668977,-3.406881
10 Aug 2024 00:34:00.000,-3815.787720,4021.539760,4071.332782,-5.979867,-1.913853,-3.714083
10 Aug 2024 00:35:00.000,-4166.466502,3899.512802,3839.677771,-5.705496,-2.152624,-4.004913
10 Aug 2024 00:36:00.000,-4499.987554,3763.363800,3591.096422,-5.408142,-2.384449,-4.278087
10 Aug 2024 00:37:00.000,-4815.008640,3613.534321,3326.684550,-5.089045,-2.608505,-4.532403
10 Aug 2024 00:38:00.000,-5110.264646,3450.514572,3047.607754,-4.749535,-2.823993,-4.766738
10 Aug 2024 00:39:00.000,-5384.572716,3274.841943,2755.096279,-4.391022,-3.030141,-4.980061
10 Aug 2024 00:40:00.000,-5636.837033,3087.099389,2450.439595,-4.014997,-3.226203,-5.171430
10 Aug 2024 00:41:00.000,-5866.053246,2887.913653,2134.980712,-3.623018,-3.411464,-5.340002
10 Aug 2024 00:42:00.000,-6071.312493,2677.953335,1810.110257,-3.216707,-3.585245,-5.485034
10 Aug 2024 00:43:00.000,-6251.805042,2457.926805,1477.260346,-2.797745,-3.746900,-5.605886
10 Aug 2024 00:44:00.000,-6406.823502,2228.579979,1137.898273,-2.367863,-3.895824,-5.702026
10 Aug 2024 00:45:00.000,-6535.765612,1990.693950,793.520037,-1.928832,-4.031449,-5.773030
