"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
10 Aug 2024 00:00:00.000,-1263.312001,4983.829793,4568.834859,-5.353321,-4.014675,2.899107
10 Aug 2024 00:01:00.000,-1582.584771,4733.587521,4732.583144,-5.285662,-4.323781,2.557163
10 Aug 2024 00:02:00.000,-1897.179845,4465.342092,4875.468924,-5.197428,-4.614591,2.203946
10 Aug 2024 00:03:00.000,-2205.869004,4180.224574,4996.862319,-5.088841,-4.886007,1.841013
10 Aug 2024 00:04:00.000,-2507.439772,3879.429412,5096.228195,-4.960205,-5.137017,1.469965
10 Aug 2024 00:05:00.000,-2800.700212,3564.209341,5173.128520,-4.811901,-5.366690,1.092437
10 Aug 2024 00:06:00.000,-3084.483668,3235.870090,5227.224297,-4.644389,-5.574191,0.710093
10 Aug 2024 00:07:00.000,-3357.653447,2895.764893,5258.277057,-4.458208,-5.758772,0.324619
10 Aug 2024 00:08:00.000,-3619.107414,2545.288832,5266.149911,-4.253970,-5.919786,-0.062287
10 Aug 2024 00:09:00.000,-3867.782494,2185.873033,5250.808153,-4.032365,-6.056680,-0.448917
10 Aug 2024 00:10:00.000,-4102.659044,1818.978750,5212.319413,-3.794152,-6.169002,-0.833569
10 Aug 2024 00:11:00.000,-4322.765094,1446.091345,5150.853362,-3.540159,-6.256401,-1.214546
10 Aug 2024 00:12:00.000,-4527.180426,1068.714208,5066.680957,-3.271283,-6.318627,-1.590169
10 Aug 2024 00:13:00.000,-4715.040486,688.362624,4960.173254,-2.988482,-6.355533,-1.958783
10 Aug 2024 00:14:00.000,-4885.540096,306.557630,4831.799766,-2.692776,-6.367075,-2.318761
10 Aug 2024 00:15:00.000,-5037.936970,-75.180129,4682.126400,-2.385241,-6.353310,-2.668518
10 Aug 2024 00:16:00.000,-5171.554999,-455.336509,4511.812955,-2.067007,-6.314397,-3.006511
10 Aug 2024 00:17:00.000,-5285.787303,-832.409922,4321.610220,-1.739250,-6.250596,-3.331250
10 Aug 2024 00:18:00.000,-5380.099031,-1204.917305,4112.356660,-1.403195,-6.162264,-3.641305
10 Aug 2024 00:19:00.000,-5454.029895,-1571.399990,3884.974720,-1.060102,-6.049856,-3.935308
10 Aug 2024 00:20:00.000,-5507.196429,-1930.429446,3640.466761,-0.711269,-5.913922,-4.211962
10 Aug 2024 00:21:00.000,-5539.293963,-2280.612864,3379.910642,-0.358025,-5.755103,-4.470050
10 Aug 2024 00:22:00.000,-5550.098293,-2620.598579,3104.454963,-0.001723,-5.574127,-4.708432
10 Aug 2024 00:23:00.000,-5539.467050,-2949.081285,2815.314008,0.356263,-5.371812,-4.926058
10 Aug 2024 00:24:00.000,-5507.340752,-3264.807052,2513.762389,0.714546,-5.149052,-5.121969
10 Aug 2024 00:25:00.000,-5453.743535,-3566.578093,2201.129425,1.071727,-4.906823,-5.295300
10 Aug 2024 00:26:00.000,-5378.783560,-3853.257296,1878.793288,1.426404,-4.646171,-5.445289
10 Aug 2024 00:27:00.000,-5282.653084,-4123.772471,1548.174923,1.777178,-4.368213,-5.571273
10 Aug 2024 00:28:00.000,-5165.628205,-4377.120330,1210.731784,2.122653,-4.074129,-5.672698
10 Aug 2024 00:29:00.000,-5028.068271,-4612.370150,867.951413,2.461451,-3.765156,-5.749115
10 Aug 2024 00:30:00.000,-4870.414944,-4828.667143,521.344877,2.792208,-3.442588,-5.800190
10 Aug 2024 00:31:00.000,-4693.190951,-5025.235486,172.440112,3.113585,-3.107762,-5.825695
10 Aug 2024 00:32:00.000,-4496.998482,-5201.381029,-177.224815,3.424275,-2.762061,-5.825519
10 Aug 2024 00:33:00.000,-4282.517279,-5356.493648,-526.108488,3.723001,-2.406903,-5.799663
10 Aug 2024 00:34:00.000,-4050.502392,-5490.049264,-872.672932,4.008529,-2.043738,-5.748240
10 Aug 2024 00:35:00.000,-3801.781627,-5601.611485,-1215.390398,4.279669,-1.674038,-5.671477
10 Aug 2024 00:36:00.000,-3537.252687,-5690.832906,-1552.750095,4.535282,-1.299294,-5.569713
10 Aug 2024 00:37:00.000,-3257.880013,-5757.456028,-1883.264849,4.774284,-0.921012,-5.443396
10 Aug 2024 00:38:00.000,-2964.691339,-5801.313828,-2205.477664,4.995650,-0.540702,-5.293084
10 Aug 2024 00:39:00.000,-2658.773975,-5822.329946,-2517.968137,5.198419,-0.159874,-5.119437
10 Aug 2024 00:40:00.000,-2341.270829,-5820.518523,-2819.358726,5.381700,0.219966,-4.923223
10 Aug 2024 00:41:00.000,-2013.376176,-5795.983665,-3108.320820,5.544673,0.597326,-4.705306
10 Aug 2024 00:42:00.000,-1676.331203,-5748.918563,-3383.580595,5.686593,0.970730,-4.466647
10 Aug 2024 00:43:00.000,-1331.419333,-5679.604248,-3643.924634,5.806799,1.338726,-4.208298
10 Aug 2024 00:44:00.000,-979.961358,-5588.408013,-3888.205268,5.904707,1.699893,-3.931397
10 Aug 2024 00:45:00.000,-623.310382,-5475.781497,-4115.345642,5.979823,2.052841,-3.637166
10 Aug 2024 00:46:00.000,-262.846613,-5342.258439,-4324.344461,6.031740,2.396223,-3.326901
10 Aug 2024 00:47:00.000,100.027986,-5188.452125,-4514.280401,6.060139,2.728736,-3.001970
10 Aug 2024 00:48:00.000,463.895168,-5015.052527,-4684.316174,6.064796,3.049128,-2.663806
10 Aug 2024 00:49:00.000,827.325970,-4822.823160,-4833.702215,6.045579,3.356201,-2.313899
10 Aug 2024 00:50:00.000,1188.886359,-4612.597657,-4961.779990,6.002451,3.648815,-1.953791
10 Aug 2024 00:51:00.000,1547.142923,-4385.276096,-5067.984899,5.935469,3.925896,-1.585071
10 Aug 2024 00:52:00.000,1900.668601,-4141.821074,-5151.848760,5.844788,4.186435,-1.209364
10 Aug 2024 00:53:00.000,2248.048422,-3883.253568,-5213.001881,5.730657,4.429495,-0.828325
10 Aug 2024 00:54:00.000,2587.885214,-3610.648582,-5251.174681,5.593419,4.654213,-0.443634
10 Aug 2024 00:55:00.000,2918.805295,-3325.130609,-5266.198883,5.433514,4.859803,-0.056988
10 Aug 2024 00:56:00.000,3239.464079,-3027.868925,-5258.008258,5.251472,5.045559,0.329909
10 Aug 2024 00:57:00.000,3548.551614,-2720.072740,-5226.638912,5.047917,5.210856,0.715352
10 Aug 2024 00:58:00.000,3844.798004,-2402.986211,-5172.229130,4.823560,5.355154,1.097641
10 Aug 2024 00:59:00.000,4126.978693,-2077.883359,-5095.018764,4.579200,5.477998,1.475092
10 Aug 2024 01:00:00.000,4393.919609,-1746.062895,-4995.348178,4.315721,5.579021,1.846040
10 Aug 2024 01:01:00.000,4644.502119,-1408.842984,-4873.656748,4.034087,5.657941,2.208850
10 Aug 2024 01:02:00.000,4877.667792,-1067.555965,-4730.480923,3.735340,5.714566,2.561923
10 Aug 2024 01:03:00.000,5092.422947,-723.543049,-4566.451859,3.420595,5.748794,2.903703
10 Aug 2024 01:04:00.000,5287.842955,-378.149018,-4382.292642,3.091038,5.760608,3.232682
10 Aug 2024 01:05:00.000,5463.076295,-32.716946,-4178.815094,2.747920,5.750081,3.547410
10 Aug 2024 01:06:00.000,5617.348324,311.417043,-3956.916201,2.392551,5.717372,3.846501
10 Aug 2024 01:07:00.000,5749.964766,652.928947,-3717.574151,2.026299,5.662726,4.128635
10 Aug 2024 01:08:00.000,5860.314881,990.511985,-3461.844031,1.650581,5.586472,4.392569
10 Aug 2024 01:09:00.000,5947.874324,1322.881585,-3190.853166,1.266857,5.489020,4.637140
10 Aug 2024 01:10:00.000,6012.207659,1648.780258,-2905.796159,0.876630,5.370863,4.861268
10 Aug 2024 01:11:00.000,6052.970529,1966.982328,-2607.929617,0.481433,5.232568,5.063967
10 Aug 2024 01:12:00.000,6069.911465,2276.298509,-2298.566617,0.082828,5.074780,5.244343
