"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
10 Aug 2024 00:00:00.000,-194.653590,5149.910846,-4555.139609,-6.052018,-2.821883,-2.931722
10 Aug 2024 00:01:00.000,-557.850425,4971.008438,-4720.873500,-6.050576,-3.139350,-2.590711
10 Aug 2024 00:02:00.000,-920.245835,4773.462115,-4865.796505,-6.025294,-3.443155,-2.238280
10 Aug 2024 00:03:00.000,-1280.408615,4558.125666,-4989.269764,-5.976160,-3.732172,-1.875982
10 Aug 2024 00:04:00.000,-1636.909602,4325.918448,-5090.748975,-5.903256,-4.005342,-1.505415
10 Aug 2024 00:05:00.000,-1988.327388,4077.821397,-5169.786789,-5.806758,-4.261674,-1.128211
10 Aug 2024 00:06:00.000,-2333.254046,3814.872812,-5226.034785,-5.686938,-4.500246,-0.746033
10 Aug 2024 00:07:00.000,-2670.300819,3538.163940,-5259.245009,-5.544164,-4.720216,-0.360567
10 Aug 2024 00:08:00.000,-2998.103775,3248.834383,-5269.271059,-5.378896,-4.920815,0.026488
10 Aug 2024 00:09:00.000,-3315.329395,2948.067334,-5256.068739,-5.191686,-5.101358,0.413427
10 Aug 2024 00:10:00.000,-3620.680059,2637.084674,-5219.696248,-4.983178,-5.261242,0.798544
10 Aug 2024 00:11:00.000,-3912.899432,2317.141950,-5160.313925,-4.754105,-5.399947,1.180140
10 Aug 2024 00:12:00.000,-4190.777701,1989.523244,-5078.183545,-4.505285,-5.517043,1.556533
10 Aug 2024 00:13:00.000,-4453.156659,1655.535970,-4973.667159,-4.237619,-5.612183,1.926066
10 Aug 2024 00:14:00.000,-4698.934612,1316.505605,-4847.225505,-3.952088,-5.685110,2.287107
10 Aug 2024 00:15:00.000,-4927.071072,973.770391,-4699.415971,-3.649752,-5.735657,2.638067
10 Aug 2024 00:16:00.000,-5136.591241,628.676011,-4530.890142,-3.331740,-5.763743,2.977397
10 Aug 2024 00:17:00.000,-5326.590249,282.570282,-4342.390925,-2.999251,-5.769378,3.303601
10 Aug 2024 00:18:00.000,-5496.237122,-63.202140,-4134.749276,-2.653551,-5.752656,3.615243
10 Aug 2024 00:19:00.000,-5644.778490,-407.304988,-3908.880534,-2.295960,-5.713763,3.910948
10 Aug 2024 00:20:00.000,-5771.541982,-748.415565,-3665.780392,-1.927855,-5.652966,4.189412
10 Aug 2024 00:21:00.000,-5875.939322,-1085.229822,-3406.520498,-1.550663,-5.570618,4.449408
10 Aug 2024 00:22:00.000,-5957.469095,-1416.467336,-3132.243742,-1.165851,-5.467154,4.689790
10 Aug 2024 00:23:00.000,-6015.719175,-1740.876156,-2844.159209,-0.774927,-5.343087,4.909498
10 Aug 2024 00:24:00.000,-6050.368805,-2057.237512,-2543.536854,-0.379428,-5.199010,5.107564
10 Aug 2024 00:25:00.000,-6061.190315,-2364.370355,-2231.701902,0.019081,-5.035587,5.283114
10 Aug 2024 00:26:00.000,-6048.050469,-2661.135720,-1910.029004,0.419019,-4.853556,5.435375
10 Aug 2024 00:27:00.000,-6010.911437,-2946.440895,-1579.936183,0.818788,-4.653720,5.563675
10 Aug 2024 00:28:00.000,-5949.831384,-3219.243380,-1242.878576,1.216785,-4.436949,5.667449
10 Aug 2024 00:29:00.000,-5864.964670,-3478.554621,-900.342024,1.611409,-4.204172,5.746240
10 Aug 2024 00:30:00.000,-5756.561659,-3723.443509,-553.836521,2.001063,-3.956373,5.799699
10 Aug 2024 00:31:00.000,-5624.968137,-3953.039630,-204.889558,2.384164,-3.694590,5.827592
10 Aug 2024 00:32:00.000,-5470.624341,-4166.536252,144.960615,2.759147,-3.419907,5.829795
10 Aug 2024 00:33:00.000,-5294.063591,-4363.193046,494.171761,3.124475,-3.133453,5.806299
10 Aug 2024 00:34:00.000,-5095.910547,-4542.338532,841.204465,3.478643,-2.836394,5.757207
10 Aug 2024 00:35:00.000,-4876.879074,-4703.372231,1184.528913,3.820182,-2.529930,5.682736
10 Aug 2024 00:36:00.000,-4637.769741,-4845.766536,1522.631637,4.147672,-2.215288,5.583213
10 Aug 2024 00:37:00.000,-4379.466951,-4969.068277,1854.022189,4.459740,-1.893721,5.459079
10 Aug 2024 00:38:00.000,-4102.935715,-5072.899994,2177.239711,4.755072,-1.566500,5.310879
10 Aug 2024 00:39:00.000,-3809.218086,-5156.960903,2490.859372,5.032416,-1.234909,5.139268
10 Aug 2024 00:40:00.000,-3499.429257,-5221.027557,2793.498651,5.290587,-0.900241,4.945001
10 Aug 2024 00:41:00.000,-3174.753343,-5264.954209,3083.823434,5.528474,-0.563792,4.728935
10 Aug 2024 00:42:00.000,-2836.438868,-5288.672867,3360.553890,5.745041,-0.226857,4.492023
10 Aug 2024 00:43:00.000,-2485.793960,-5292.193045,3622.470117,5.939336,0.109277,4.235309
10 Aug 2024 00:44:00.000,-2124.181290,-5275.601232,3868.417517,6.110496,0.443332,3.959925
10 Aug 2024 00:45:00.000,-1753.012756,-5239.060047,4097.311887,6.257744,0.774047,3.667084
10 Aug 2024 00:46:00.000,-1373.743951,-5182.807126,4308.144199,6.380399,1.100185,3.358077
10 Aug 2024 00:47:00.000,-987.868421,-5107.153722,4499.985048,6.477879,1.420530,3.034268
10 Aug 2024 00:48:00.000,-596.911751,-5012.483028,4671.988746,6.549699,1.733900,2.697082
