"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
10 Aug 2024 00:00:00.000,-2262.249639,-4633.972566,4551.625360,4.413891,-5.018726,-2.915731
10 Aug 2024 00:01:00.000,-1993.935556,-4925.874798,4366.777652,4.527093,-4.707953,-3.243595
10 Aug 2024 00:02:00.000,-1719.339867,-5198.531924,4162.680008,4.623230,-4.377432,-3.557160
10 Aug 2024 00:03:00.000,-1439.494397,-5450.797658,3940.232146,4.702048,-4.028464,-3.855044
10 Aug 2024 00:04:00.000,-1155.444336,-5681.606128,3700.414676,4.763357,-3.662426,-4.135934
10 Aug 2024 00:05:00.000,-868.244372,-5889.976457,3444.284779,4.807029,-3.280773,-4.398592
10 Aug 2024 00:06:00.000,-578.954826,-6075.016995,3172.971543,4.833004,-2.885025,-4.641859
10 Aug 2024 00:07:00.000,-288.637795,-6235.929205,2887.670992,4.841284,-2.476764,-4.864664
10 Aug 2024 00:08:00.000,1.646678,-6372.011172,2589.640807,4.831935,-2.057628,-5.066024
10 Aug 2024 00:09:00.000,290.844400,-6482.660709,2280.194785,4.805086,-1.629301,-5.245052
10 Aug 2024 00:10:00.000,577.910769,-6567.378078,1960.697049,4.760927,-1.193513,-5.400958
10 Aug 2024 00:11:00.000,861.814452,-6625.768276,1632.556031,4.699710,-0.752025,-5.533056
10 Aug 2024 00:12:00.000,1141.540987,-6657.542906,1297.218264,4.621746,-0.306628,-5.640762
10 Aug 2024 00:13:00.000,1416.096299,-6662.521600,956.162009,4.527402,0.140870,-5.723602
10 Aug 2024 00:14:00.000,1684.510110,-6640.633011,610.890733,4.417104,0.588644,-5.781211
10 Aug 2024 00:15:00.000,1945.839245,-6591.915343,262.926486,4.291330,1.034868,-5.813335
10 Aug 2024 00:16:00.000,2199.170809,-6516.516436,-86.196811,4.150611,1.477715,-5.819832
10 Aug 2024 00:17:00.000,2443.625238,-6414.693396,-434.940130,3.995527,1.915371,-5.800673
10 Aug 2024 00:18:00.000,2678.359210,-6286.811773,-781.766116,3.826704,2.346037,-5.755944
10 Aug 2024 00:19:00.000,2902.568395,-6133.344282,-1125.145865,3.644816,2.767940,-5.685841
10 Aug 2024 00:20:00.000,3115.490064,-5954.869083,-1463.565667,3.450576,3.179340,-5.590673
10 Aug 2024 00:21:00.000,3316.405519,-5752.067615,-1795.533676,3.244737,3.578536,-5.470860
10 Aug 2024 00:22:00.000,3504.642354,-5525.722005,-2119.586488,3.028090,3.963873,-5.326930
10 Aug 2024 00:23:00.000,3679.576543,-5276.712048,-2434.295589,2.801456,4.333752,-5.159518
10 Aug 2024 00:24:00.000,3840.634335,-5006.011773,-2738.273658,2.565688,4.686633,-4.969361
10 Aug 2024 00:25:00.000,3987.293965,-4714.685620,-3030.180677,2.321666,5.021042,-4.757297
10 Aug 2024 00:26:00.000,4119.087173,-4403.884228,-3308.729840,2.070293,5.335580,-4.524262
10 Aug 2024 00:27:00.000,4235.600526,-4074.839858,-3572.693228,1.812493,5.628928,-4.271283
10 Aug 2024 00:28:00.000,4336.476537,-3728.861469,-3820.907220,1.549206,5.899849,-3.999475
10 Aug 2024 00:29:00.000,4421.414586,-3367.329467,-4052.277619,1.281387,6.147199,-3.710037
10 Aug 2024 00:30:00.000,4490.171642,-2991.690148,-4265.784485,1.010001,6.369926,-3.404243
10 Aug 2024 00:31:00.000,4542.562775,-2603.449855,-4460.486619,0.736019,6.567081,-3.083443
10 Aug 2024 00:32:00.000,4578.461471,-2204.168873,-4635.525724,0.460416,6.737817,-2.749050
10 Aug 2024 00:33:00.000,4597.799741,-1795.455099,-4790.130178,0.184167,6.881393,-2.402538
10 Aug 2024 00:34:00.000,4600.568035,-1378.957492,-4923.618444,-0.091755,6.997182,-2.045435
10 Aug 2024 00:35:00.000,4586.814950,-956.359345,-5035.402070,-0.366385,7.084668,-1.679316
10 Aug 2024 00:36:00.000,4556.646749,-529.371406,-5124.988283,-0.638768,7.143452,-1.305794
10 Aug 2024 00:37:00.000,4510.226685,-99.724870,-5191.982164,-0.907958,7.173251,-0.926515
10 Aug 2024 00:38:00.000,4447.774135,330.835725,-5236.088383,-1.173031,7.173903,-0.543152
10 Aug 2024 00:39:00.000,4369.563551,760.559669,-5257.112511,-1.433076,7.145366,-0.157395
