"Interferer Name","Interferer ID"
"Satellite/LEOSAT1/Transmitter/LEO_Transmitter",0
"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",1
"Satellite/LEOSAT3/Transmitter/LEO_Transmitter",2
"Satellite/LEOSAT4/Transmitter/LEO_Transmitter",3
"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",4
"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",5

"Time (UTCG)","Link To ID","IF Source ID","Interferer Name","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Power At Rcvr Input (dBW)","Rcvr Gain (dB)","Rcvr NormGain","Rcvr Loss (dB)","Bandwidth Overlap (units)","Pwr Flux Density (dBW/m^2)","C/I (dB)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)"
10 Aug 2024 01:13:47.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,1.3297,14.378,58.825,62.089,1284.401550,0.000,0.000,15.000,-163.766,0.0000,1.000000,178.1436,0.9998,-117.794244,11.0313,0.000,0.0000,178.1436,0.0000,0.0000
10 Aug 2024 01:14:47.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,1.8134,14.862,78.795,59.384,1126.029562,0.000,0.000,15.000,-162.139,0.0000,1.000000,177.0006,0.9999,-116.181646,9.4040,0.000,0.0000,177.0006,0.0000,0.0000
10 Aug 2024 01:15:47.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,1.8674,14.916,102.847,59.089,1111.852755,0.000,0.000,15.000,-161.975,0.0000,1.000000,176.8906,0.9999,-116.020682,9.2399,0.000,0.0000,176.8906,0.0000,0.0000
10 Aug 2024 01:16:47.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,1.4269,14.475,123.939,61.535,1247.011250,0.000,0.000,15.000,-163.412,0.0000,1.000000,177.8870,0.9998,-117.442480,10.6774,0.000,0.0000,177.8870,0.0000,0.0000
10 Aug 2024 01:17:47.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,0.9231,13.972,138.647,64.458,1491.141043,0.000,0.000,15.000,-165.470,0.0000,1.000000,179.4400,0.9997,-119.489619,12.7345,0.000,0.0000,179.4400,0.0000,0.0000
10 Aug 2024 01:18:47.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,0.5795,13.628,148.267,66.531,1799.800215,0.000,0.000,15.000,-167.448,0.0000,1.000000,181.0741,0.9997,-121.461952,14.7125,0.000,0.0000,181.0741,0.0000,0.0000
10 Aug 2024 01:19:47.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,0.3990,13.448,154.697,67.646,2144.440387,0.000,0.000,15.000,-169.150,0.0000,1.000000,182.5959,0.9996,-123.161168,16.4149,0.000,0.0000,182.5959,0.0000,0.0000
10 Aug 2024 01:20:47.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,0.3385,13.387,159.181,68.024,2509.257722,0.000,0.000,15.000,-170.575,0.0000,1.000000,183.9605,0.9996,-124.584598,17.8401,0.000,0.0000,183.9605,0.0000,0.0000
10 Aug 2024 02:48:15.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.3374,13.386,343.527,68.031,2563.279677,0.000,0.000,15.000,-170.761,0.0000,1.000000,184.1455,0.9996,-124.768110,18.0264,0.000,0.0000,184.1455,0.0000,0.0000
10 Aug 2024 02:49:15.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.3910,13.439,341.032,67.696,2170.882251,0.000,0.000,15.000,-169.265,0.0000,1.000000,182.7023,0.9996,-123.271938,16.5296,0.000,0.0000,182.7023,0.0000,0.0000
10 Aug 2024 02:49:15.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,0.3536,13.402,331.287,67.930,2342.919536,0.000,0.000,15.000,-169.964,0.0000,1.000000,183.3648,0.9997,-123.976740,17.2292,0.000,0.0000,183.3648,0.0000,0.0000
10 Aug 2024 02:50:15.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.5899,13.638,337.319,66.467,1786.514569,0.000,0.000,15.000,-167.373,0.0000,1.000000,181.0097,0.9996,-121.381697,14.6380,0.000,0.0000,181.0097,0.0000,0.0000
10 Aug 2024 02:50:15.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,0.4515,13.500,324.976,67.320,2009.648281,0.000,0.000,15.000,-168.533,0.0000,1.000000,182.0320,0.9997,-122.549191,15.7984,0.000,0.0000,182.0320,0.0000,0.0000
10 Aug 2024 02:51:15.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,1.0436,14.092,331.342,63.747,1418.999748,0.000,0.000,15.000,-164.919,0.0000,1.000000,179.0093,0.9996,-118.930280,12.1837,0.000,0.0000,179.0093,0.0000,0.0000
10 Aug 2024 02:51:15.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,0.6549,13.703,316.081,66.070,1711.686224,0.000,0.000,15.000,-166.936,0.0000,1.000000,180.6381,0.9997,-120.956978,14.2009,0.000,0.0000,180.6381,0.0000,0.0000
10 Aug 2024 02:52:15.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,1.9637,15.012,320.610,58.567,1087.909561,0.000,0.000,15.000,-161.691,0.0000,1.000000,176.7015,0.9997,-115.708486,8.9556,0.000,0.0000,176.7015,0.0000,0.0000
10 Aug 2024 02:52:15.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,0.9531,14.002,303.469,64.280,1472.045552,0.000,0.000,15.000,-165.327,0.0000,1.000000,179.3280,0.9998,-119.357062,12.5922,0.000,0.0000,179.3280,0.0000,0.0000
10 Aug 2024 02:53:15.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,3.5426,16.591,299.014,50.641,839.766392,0.000,0.000,15.000,-157.862,0.0000,1.000000,174.4528,0.9998,-111.894659,5.1274,0.000,0.0000,174.4528,0.0000,0.0000
10 Aug 2024 02:53:15.000,0,4,"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",15.000,1.2363,14.285,286.471,62.626,1323.820901,0.000,0.000,15.000,-164.122,0.0000,1.000000,178.4062,0.9999,-118.164521,11.3868,0.000,0.0000,178.4062,0.0000,0.0000
10 Aug 2024 02:54:15.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,4.4436,17.492,260.743,46.608,762.042122,0.000,0.000,15.000,-156.117,0.0000,1.000000,173.6092,1.0000,-110.166495,3.3822,0.000,0.0000,173.6092,0.0000,0.0000
